               column_name               |   table_name   |                field_id                 |                                             description                                              | coding | inst | arr |          type          
 c5270_0_0                               | ukb_pheno_0_00 | 5270                                    | Optical-coherence tomography device ID                                                               |        |    0 |   0 | Text
 c5270_1_0                               | ukb_pheno_0_00 | 5270                                    | Optical-coherence tomography device ID                                                               |        |    1 |   0 | Text
 c6070_0_0                               | ukb_pheno_0_00 | 6070                                    | OCT measured (right)                                                                                 | 100274 |    0 |   0 | Categorical (single)
 c6070_1_0                               | ukb_pheno_0_00 | 6070                                    | OCT measured (right)                                                                                 | 100274 |    1 |   0 | Categorical (single)
 c6071_0_0                               | ukb_pheno_0_00 | 6071                                    | Duration at which OCT screen shown (right)                                                           |        |    0 |   0 | Integer
 c6071_1_0                               | ukb_pheno_0_00 | 6071                                    | Duration at which OCT screen shown (right)                                                           |        |    1 |   0 | Integer
 c6072_0_0                               | ukb_pheno_0_00 | 6072                                    | OCT measured (left)                                                                                  | 100274 |    0 |   0 | Categorical (single)
 c6072_1_0                               | ukb_pheno_0_00 | 6072                                    | OCT measured (left)                                                                                  | 100274 |    1 |   0 | Categorical (single)
 c6073_0_0                               | ukb_pheno_0_00 | 6073                                    | Duration at which OCT screen shown (left)                                                            |        |    0 |   0 | Integer
 c6073_1_0                               | ukb_pheno_0_00 | 6073                                    | Duration at which OCT screen shown (left)                                                            |        |    1 |   0 | Integer
 c20061_0_0                              | ukb_pheno_0_00 | 20061                                   | Reason for skipping OCT (right)                                                                      |     54 |    0 |   0 | Categorical (single)
 c20062_0_0                              | ukb_pheno_0_00 | 20062                                   | Reason for skipping OCT (left)                                                                       |     54 |    0 |   0 | Categorical (single)
 c21011_0_0                              | ukb_pheno_0_00 | 21011                                   | FDA data file (left)                                                                                 |        |    0 |   0 | Text
 c21011_0_1                              | ukb_pheno_0_00 | 21011                                   | FDA data file (left)                                                                                 |        |    0 |   1 | Text
 c21011_1_0                              | ukb_pheno_0_00 | 21011                                   | FDA data file (left)                                                                                 |        |    1 |   0 | Text
 c21011_1_1                              | ukb_pheno_0_00 | 21011                                   | FDA data file (left)                                                                                 |        |    1 |   1 | Text
 c21012_0_0                              | ukb_pheno_0_00 | 21012                                   | FDS data file (left)                                                                                 |        |    0 |   0 | Text
 c21012_0_1                              | ukb_pheno_0_00 | 21012                                   | FDS data file (left)                                                                                 |        |    0 |   1 | Text
 c21012_1_0                              | ukb_pheno_0_00 | 21012                                   | FDS data file (left)                                                                                 |        |    1 |   0 | Text
 c21012_1_1                              | ukb_pheno_0_00 | 21012                                   | FDS data file (left)                                                                                 |        |    1 |   1 | Text
 c21013_0_0                              | ukb_pheno_0_00 | 21013                                   | FDA data file (right)                                                                                |        |    0 |   0 | Text
 c21013_0_1                              | ukb_pheno_0_00 | 21013                                   | FDA data file (right)                                                                                |        |    0 |   1 | Text
 c21013_1_0                              | ukb_pheno_0_00 | 21013                                   | FDA data file (right)                                                                                |        |    1 |   0 | Text
 c21013_1_1                              | ukb_pheno_0_00 | 21013                                   | FDA data file (right)                                                                                |        |    1 |   1 | Text
 c21014_0_0                              | ukb_pheno_0_00 | 21014                                   | FDS data file (right)                                                                                |        |    0 |   0 | Text
 c21014_0_1                              | ukb_pheno_0_00 | 21014                                   | FDS data file (right)                                                                                |        |    0 |   1 | Text
 c21014_1_0                              | ukb_pheno_0_00 | 21014                                   | FDS data file (right)                                                                                |        |    1 |   0 | Text
 c21014_1_1                              | ukb_pheno_0_00 | 21014                                   | FDS data file (right)                                                                                |        |    1 |   1 | Text
 c21015_0_0                              | ukb_pheno_0_00 | 21015                                   | Fundus retinal eye image (left)                                                                      |        |    0 |   0 | Text
 c21015_0_1                              | ukb_pheno_0_00 | 21015                                   | Fundus retinal eye image (left)                                                                      |        |    0 |   1 | Text
 c21015_1_0                              | ukb_pheno_0_00 | 21015                                   | Fundus retinal eye image (left)                                                                      |        |    1 |   0 | Text
