Trait,Ntotal (BBJ),NGWAS (BBJ & UKBB),Ntarget (BBJ & UKBB),UKBB code,# BBJ clumps,# UKBB clumps
Basophil,87665,82665,5000,30160,8939,8690
BMI,155426,150426,5000,21001,19114,21339
DBP,137991,132991,5000,4079,9865,14213
Eosinophil,88675,83675,5000,30150,9266,13061
Hb,144653,139653,5000,30020,10483,16184
Height,156569,151569,5000,50,37216,31854
Ht,144947,139947,5000,30030,10554,15408
Lymphocyte,91157,86157,5000,30120,9400,13648
MCH,121249,116249,5000,30050,12598,15222
MCHC,128232,123232,5000,30060,10272,10074
MCV,122912,117912,5000,30040,13169,16354
Monocyte,90593,85593,5000,30130,10886,13452
Neutrophil,79287,74287,5000,30140,9150,12211
Platelet,140610,135610,5000,30080,14843,19259
RBC,145426,140426,5000,30010,12467,18069
SBP,137981,132981,5000,4080,11231,14562
WBC,146158,141158,5000,30000,12664,17581
